timestamp,frame,arm_angle,back_angle,knee_angle
2025-09-19T19:21:43.927341,94,105,177,178
2025-09-19T19:21:44.018141,95,72,174,179
2025-09-19T19:21:44.106403,96,70,176,179
2025-09-19T19:21:44.191086,97,157,176,174
2025-09-19T19:21:44.283232,98,157,176,174
2025-09-19T19:21:44.363080,99,91,172,178
2025-09-19T19:21:44.469565,100,,,175
2025-09-19T19:21:44.662637,102,3,,
2025-09-19T19:21:44.756217,103,25,177,
2025-09-19T19:21:44.839567,104,19,,
2025-09-19T19:21:45.065913,107,,179,177
2025-09-19T19:21:45.158267,108,143,179,161
2025-09-19T19:21:45.240614,109,133,173,159
2025-09-19T19:21:45.330940,110,169,169,168
2025-09-19T19:21:45.419455,111,171,164,168
2025-09-19T19:21:45.507102,112,166,166,169
2025-09-19T19:21:45.591928,113,178,165,173
2025-09-19T19:21:45.666976,114,154,163,156
2025-09-19T19:21:45.746734,115,167,179,162
2025-09-19T19:21:45.840065,116,175,174,170
2025-09-19T19:21:45.928865,117,174,173,171
2025-09-19T19:21:46.020338,118,175,173,176
2025-09-19T19:21:46.117836,119,131,168,170
2025-09-19T19:21:46.227362,120,136,172,169
2025-09-19T19:21:46.324139,121,130,175,167
2025-09-19T19:21:46.417089,122,130,174,167
2025-09-19T19:21:46.514493,123,176,170,179
2025-09-19T19:21:46.696531,124,,178,176
2025-09-19T19:21:46.807617,125,,176,
2025-09-19T19:21:46.927760,126,,174,177
2025-09-19T19:21:47.088380,127,133,173,179
2025-09-19T19:21:47.192175,128,141,178,176
2025-09-19T19:21:47.311672,129,129,176,170
2025-09-19T19:21:47.452354,130,138,173,161
2025-09-19T19:21:47.536538,131,139,172,165
2025-09-19T19:21:47.617644,132,104,169,167
2025-09-19T19:21:47.715292,133,107,174,161
2025-09-19T19:21:47.812922,134,141,179,165
2025-09-19T19:21:47.906503,135,126,175,171
2025-09-19T19:21:47.986142,136,101,175,168
2025-09-19T19:21:48.079527,137,107,176,170
2025-09-19T19:21:48.175722,138,98,174,175
2025-09-19T19:21:48.267245,139,93,176,178
2025-09-19T19:21:48.357652,140,109,176,175
2025-09-19T19:21:48.452740,141,115,175,172
2025-09-19T19:21:48.555245,142,179,167,171
2025-09-19T19:21:48.648023,143,169,173,178
2025-09-19T19:21:48.733064,144,105,179,176
2025-09-19T19:21:48.813369,145,48,173,177
2025-09-19T19:21:48.890925,146,63,177,176
2025-09-19T19:21:48.984011,147,98,173,171
2025-09-19T19:21:49.074672,148,68,173,171
2025-09-19T19:21:49.172977,149,151,174,176
2025-09-19T19:21:49.277895,150,21,158,152
2025-09-19T19:21:49.356270,151,126,165,161
2025-09-19T19:21:49.429382,152,138,165,162
2025-09-19T19:21:49.509333,153,144,163,167
2025-09-19T19:21:49.589957,154,135,167,164
2025-09-19T19:21:49.683028,155,155,157,168
2025-09-19T19:21:49.775602,156,176,152,164
2025-09-19T19:21:49.855115,157,156,169,167
2025-09-19T19:21:49.954024,158,166,167,162
2025-09-19T19:21:50.048442,159,171,163,149
2025-09-19T19:21:50.142759,160,170,163,152
2025-09-19T19:21:50.237640,161,167,170,153
2025-09-19T19:21:50.340586,162,172,175,161
2025-09-19T19:21:50.419824,163,162,174,164
2025-09-19T19:21:50.510221,164,,179,167
2025-09-19T19:21:50.592060,165,,176,166
2025-09-19T19:21:50.668582,166,168,175,164
